ts,open,high,low,close,volume,trades,longOpenInterest,shortOpenInterest,profit,loss,profitCumulative,lossCumulative
2021-12-04,53675.0,53893.4,40150.1,49255.1,8936.375665251,93273,30298376931128710154013671505096430000,1413159305505303665657869102000000000,371087884057256340624829423617563131,4399992861999800560048317386072143418,19578452588801336585280290582258081403,23313902887008327842833593374029444703
2021-12-05,49245.0,49750.0,47832.2,49443.3,3742.5107091401,35056,25240929396068791212316196272497680000,2840340571512616993533790550000000000,304004239461015730537950190059221412,457009234913287492016677438069810770,19882456828262352315818240772317302815,23770912121921615334850270812099255473
2021-12-06,49444.0,50957.6,47210.0,50564.3,4070.3929239901,39613,24318985370415248526613789822088480000,5032988771603862144632758979350000000,293429167887335297546988707367677167,174851736716110548337817166752132099,20175885996149687613365229479684979982,23945763858637725883188087978851387572
2021-12-07,50544.8,51955.0,50100.0,50650.1,2712.74988414,32481,22466446548378139409260343051088480000,8185260539089333103112598837350000000,195239372170891864080128496394232957,60651764917184825844009618461370445,20371125368320579477445357976079212939,24006415623554910709032097597312758017
2021-12-08,50650.1,51202.5,48579.3,50515.1,2997.4964788201,27149,27710878530922509777114912077088480000,6046652103031403748590681427350000000,93870655377642513232387611755427378,103554715812137648130826223961436396,20464996023698221990677745587834640317,24109970339367048357162923821274194413
2021-12-09,50525.1,50819.5,47298.4,47581.6,2691.4998108001,30424,28277447654036083068838600402088480000,3849434380915693019394067700000000000,247607917418160458321756640195504283,266561341515438020594344542383384931,20712603941116382448999502228030144600,24376531680882486377757268363657579344
2021-12-10,47576.4,50114.2,46888.8,47218.3,3323.5417558001,34264,26177440272178930332639542935988480000,7807028861338307334598839405000000000,184830587718957199590101399976315210,615428161215299332775554739481996054,20897434528835339648589603628006459810,24991959842097785710532823103139575398
2021-12-11,47173.9,49500.0,46800.0,49367.2,2068.4167713899,23586,23455693974061518694949161163528530000,10612955714821373013830741246600000000,144825861040859260431742719413215390,236867139452541095143948498566486456,21042260389876198909021346347419675200,25228826981550326805676771601706061854
2021-12-12,49406.0,50788.4,48697.8,50113.2,2022.36398205,22650,24656017166151472308231713406988480000,6799321860207529132215345735000000000,81222934295860820713872676613737676,644350674189449506377063587252807915,21123483324172059729735219024033412876,25873177655739776312053835188958869769
2021-12-13,50098.8,50219.8,45759.0,46732.2,4915.4230727502,41085,20687566555534045227717798166988480000,3188957580944606424688970648400000000,228708335320090913143729170022541971,984932544906417367580992002250444612,21352191659492150642878948194055954847,26858110200646193679634827191209314381
2021-12-14,46732.2,48690.0,46313.7,48399.2,3830.8240635501,35772,18861947654628567768377958994050710000,8168677793344465102866138055000000000,300063063759083443244272599666714753,310560515033990314058641139422076843,21652254723251234086123220793722669600,27168670715680183993693468330631391224
2021-12-15,48399.2,49512.5,46632.0,48881.3,4250.48170763,34511,17069904159580709733930003917750833000,16898307971448672254971840616300000000,467181616596688293349182897060152138,766191657576632063976590900109214629,22119436339847922379472403690782821738,27934862373256816057670059230740605853
2021-12-16,48881.8,49465.6,47560.0,47631.0,3345.2738369701,31997,24915493119056661563666410574129710000,4653210800596861954248306226189051878,274819538171402822947656751783562613,340269281763221083488355685496756931,22394255878019325202420060442566384351,28275131655020037141158414916237362784
2021-12-17,47639.9,48001.9,45500.0,46168.3,3794.8757959502,38927,21790163984554725861467945538929710000,4700139746816778954000270628400000000,249461759602745932658658648849286604,445670845984106667887547636427114227,22643717637622071135078719091415670955,28720802501004143809045962552664477011
2021-12-18,46166.6,47333.6,45520.2,46864.3,1868.9874995499,24363,20654478281527159638535982030955510000,9070075522903484519441623308400000000,238167269164874551356647487799127006,75287573727703653402195922333273084,22881884906786945686435366579214797961,28796090074731847462448158474997750095
2021-12-19,46858.0,48289.0,46484.8,46688.4,2067.31974122,22744,25253238266116691265739966806567670000,10682540477812919211101720312400000000,133869093546068277066823465789787483,72240331760045619575941344248242408,23015754000333013963502190045004585444,28868330406491893082024099819245992503
2021-12-20,46687.8,47549.8,45600.0,46898.1,2989.0172874701,30600,21248593762275032042542028299237270000,6067489974623610916604622968400000000,288640998978734578711554700940013217,356043693169287369141980239100141544,23304394999311748542213744745944598661,29224374099661180451166080058346134047
2021-12-21,46907.3,49321.1,46676.5,48925.9,3879.22273194,29852,23176805986928747664779443184786510000,20806576859731872028086542545400000000,71782938591409854190814510349899589,39959288263123840154705209167490031,23376177937903158396404559256294498250,29264333387924304291320785267513624078
2021-12-22,48925.9,49599.8,48491.0,48624.9,2036.6421753,24570,28344522181132863096645537785266140000,18527348364268153418423538768400000000,135730818058232256600676318981775142,214347869591079663889011370537871106,23511908755961390653005235575276273392,29478681257515383955209796638051495184
2021-12-23,48624.9,51391.2,48042.3,50818.8,3079.33948002,32242,23298940621488139683855333055696620000,9732154727061250360922213183400000000,346346677061213404046477551045178903,456011211343864606430053387218198717,23858255433022604057051713126321452295,29934692468859248561639850025269693901
2021-12-24,50818.8,51844.4,50456.0,50834.3,2363.11059866,28783,23703273320430180586902753510596620000,5461425490433159767344298023400000000,178775735760701565374528493296805236,233518722297963307292252753775858918,24037031168783305622426241619618257531,30168211191157211868932102779045552819
